Numero;TEMPORADA;Denominacion;NUMERO  DE INCENDIOS;SUPERFICIE AFECTADA (ha);SUPERFICIE PROMEDIO (ha/inc.)
;;;;;
;;;;;
1;1963 - 1964;64;435;19.600;45,1
2;1964 - 1965;65;269;17.200;63,9
3;1965 - 1966;66;396;19.900;50,3
4;1966 - 1967;67;307;15.820;51,5
5;1967 - 1968;68;507;61.314;120,9
6;1968 - 1969;69;807;34.747;43,1
7;1969 - 1970;70;551;16.725;30,4
8;1970 - 1971;71;669;22.603;33,8
9;1971 - 1972;72;1.172;81.570;69,6
10;1972 - 1973;73;1.214;42.763;35,2
11;1973 - 1974;74;1.332;19.162;14,4
12;1974 - 1975;75;1.630;9.604;5,9
13;1975 - 1976;76;2.785;24.266;8,7
14;1976 - 1977;77;1.909;26.458;13,9
15;1977 - 1978;78;3.380;29.963;8,9
16;1978 - 1979;79;4.718;76.215;16,2
17;1979 - 1980;80;2.977;22.535;7,6
18;1980 - 1981;81;4.197;32.056;7,6
19;1981 - 1982;82;4.520;26.842;5,9
20;1982 - 1983;83;4.782;45.748;9,6
21;1983 - 1984;84;6.252;80.191;12,8
22;1984 - 1985;85;5.223;47.572;9,1
23;1985 - 1986;86;5.421;67.414;12,4
24;1986 - 1987;87;5.195;97.055;18,7
25;1987 - 1988;88;5.202;85.837;16,5
26;1988 - 1989;89;5.245;88.062;16,8
27;1989 - 1990;90;4.116;25.545;6,2
28;1990 - 1991;91;5.194;50.273;9,7
29;1991 - 1992;92;4.788;24.224;5,1
30;1992 - 1993;93;6.118;49.981;8,2
31;1993 - 1994;94;6.214;65.606;10,6
32;1994 - 1995;95;5.356;26.174;4,9
33;1995 - 1996;96;5.886;40.081;6,8
34;1996 - 1997;97;5.493;43.592;7,9
35;1997 - 1998;98;5.332;90.887;17
36;1998 - 1999;99;6.831;101.691;14,9
37;1999 - 2000;0;5.252;17.183;3,3
38;2000 - 2001;1;5.376;10.921;2
39;2001 - 2002;2;6.701;90.069;13,4
40;2002 - 2003;3;7.572;41.988;5,5
41;2003 - 2004;4;6.430;50.687;7,9
42;2004 - 2005;5;6.653;65.300;9,8
43;2005 - 2006;6;5.397;19.349;3,6
44;2006 - 2007;7;5.143;43.404;8,4
45;2007 - 2008;8;6.976;42.063;6
46;2008 - 2009;9;6.157;64.875;10,5
47;2009 - 2010;10;4.069;58.364;14,3
48;2010 - 2011;11;4.952;47.040;9,5
49;2011 - 2012;12;5.509;90.279;16,4
50;2012 - 2013;13;5.651;17.109;3
51;2013 - 2014;14;6.335;105.992;16,7
52;2014 -2015;15;8.048;128.654;16
53;2015 - 2016;16;6.784;42.097;6,2
54;2016 - 2017;17;5.274;570.197;108,1
55;2017 - 2018;18;6.081;39.554;6,5
56;2018 - 2019;19;7.219;80.064;11,1
57;2019 - 2020;20;8.127;102.292;12,6
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
