,AÑO,INCENDIOS,SUPERFICIE AFECTADA (ha),SUPERFICIE PROMEDIO (ha/inc),SUPERFICIE AFECTADA DIVIDIDO EN 2,promediado
0,1963 - 1964,435.0,19.6,45,9.8,0.04505747126436782
1,1964 - 1965,269.0,17.2,63,8.6,0.06394052044609665
2,1965 - 1966,396.0,19.9,50,9.95,0.05025252525252525
3,1966 - 1967,307.0,15.82,51,7.91,0.051530944625407166
4,1967 - 1968,507.0,61.314,120,30.657,0.12093491124260355
5,1968 - 1969,807.0,34.747,43,17.3735,0.04305700123915737
6,1969 - 1970,551.0,16.725,30,8.3625,0.03035390199637024
7,1970 - 1971,669.0,22.603,33,11.3015,0.03378624813153961
8,1971 - 1972,1.172,81.57,69,40.785,69.59897610921502
9,1972 - 1973,1.214,42.763,35,21.3815,35.22487644151565
10,1973 - 1974,1.332,19.162,14,9.581,14.385885885885884
11,1974 - 1975,1.63,9.604,5,4.802,5.8920245398773
12,1975 - 1976,2.785,24.266,8,12.133,8.71310592459605
13,1976 - 1977,1.909,26.458,13,13.229,13.85961236249345
14,1977 - 1978,3.38,29.963,8,14.9815,8.864792899408284
15,1978 - 1979,4.718,76.215,16,38.1075,16.154090716405257
16,1979 - 1980,2.977,22.535,7,11.2675,7.569701041316762
17,1980 - 1981,4.197,32.056,7,16.028,7.6378365499166065
18,1981 - 1982,4.52,26.842,5,13.421,5.938495575221239
19,1982 - 1983,4.782,45.748,9,22.874,9.566708490171475
20,1983 - 1984,6.252,80.191,12,40.0955,12.826455534229048
21,1984 - 1985,5.223,47.572,9,23.786,9.108175378135172
22,1985 - 1986,5.421,67.414,12,33.707,12.435712968087069
23,1986 - 1987,5.195,97.055,18,48.5275,18.682386910490855
24,1987 - 1988,5.202,85.837,16,42.9185,16.50076893502499
25,1988 - 1989,5.245,88.062,16,44.031,16.789704480457576
26,1989 - 1990,4.116,25.545,6,12.7725,6.206268221574345
27,1990 - 1991,5.194,50.273,9,25.1365,9.679052753176743
28,1991 - 1992,4.788,24.224,5,12.112,5.059314954051796
29,1992 - 1993,6.118,49.981,8,24.9905,8.16949983654789
30,1993 - 1994,6.214,65.606,10,32.803,10.557772771161892
31,1994 - 1995,5.356,26.174,4,13.087,4.886855862584018
32,1995 - 1996,5.886,40.081,6,20.0405,6.809548080190282
33,1996 - 1997,5.493,43.592,7,21.796,7.935918441653012
34,1997 - 1998,5.332,90.887,17,45.4435,17.045573893473367
35,1998 - 1999,6.831,101.691,14,50.8455,14.886693017127799
36,1999 - 2000,5.252,17.183,3,8.5915,3.271706016755522
37,2000 - 2001,5.376,10.921,2,5.4605,2.031436011904762
38,2001 - 2002,6.701,90.069,13,45.0345,13.441128189822416
39,2002 - 2003,7.572,41.988,5,20.994,5.545166402535657
40,2003 - 2004,6.43,50.687,7,25.3435,7.882892690513219
41,2004 - 2005,6.653,65.3,9,32.65,9.815120998045995
42,2005 - 2006,5.397,19.349,3,9.6745,3.5851398925328883
43,2006 - 2007,5.143,43.404,8,21.702,8.43943223799339
44,2007 - 2008,6.976,42.063,6,21.0315,6.029673165137615
45,2008 - 2009,6.157,64.875,10,32.4375,10.536787396459314
46,2009 - 2010,4.069,58.364,14,29.182,14.3435733595478
47,2010 - 2011,4.952,47.04,9,23.52,9.499192245557351
48,2011 - 2012,5.509,90.279,16,45.1395,16.38754764930114
49,2012 - 2013,5.651,17.109,3,8.5545,3.027605733498496
50,2013 - 2014,6.335,105.992,16,52.996,16.73117600631413
51,2014 - 2015,8.048,128.654,16,64.327,15.985834990059642
52,2015 - 2016,6.784,42.097,6,21.0485,6.205336084905661
53,2016 - 2017,5.274,570.197,108,285.0985,108.11471368979902
54,2017 - 2018,6.081,39.554,6,19.777,6.504522282519322
55,2018 - 2019,7.219,80.064,11,40.032,11.090732788474856
56,2019 - 2020,8.127,102.292,12,51.146,12.586686354128213
